title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link
Rumah Mewah 2 Lantai Korea Style Modern Dengan Kolam Renang Luas Di Purwomartani Kalasan Sleman Dekat Swalayan Pamela 7,"Rp 3,95 Miliar",5.0,3.0,2.0,: 296 m²,: 288 m²,"Rumah, Premier, Full Furnished, Dekat Sekolah",Ayanti Sahabat Properti Jogja,Diperbarui 18 jam yang lalu oleh,"Purwomartani , Sleman",/properti/sleman/hos18034859/
Turun Harga Rumah Siap Huni Dekat Upn 1.5m,"Rp 1,52 Miliar",4.0,3.0,2.0,: 120 m²,: 165 m²,"Rumah, Premier, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",tri indarto,Diperbarui 5 jam yang lalu oleh,"Depok, Sleman",/properti/sleman/hos10048531/
"Banting Harga!! Rumah Induk Dan Ruang Usaha Di Jual..5 Menit Saja Ke Kampus Uii, Upn, Amikom..sangat Strategis","Rp 5,4 Miliar",7.0,8.0,6.0,: 482 m²,: 700 m²,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rully Java,Diperbarui 4 hari yang lalu oleh,"Condong Catur, Sleman",/properti/sleman/hos14414747/
Rumah 2 Lantai Ada Kolam Renang View Merapi di Sleman Yogyakarta,"Rp 1,5 Miliar",4.0,2.0,1.0,: 90 m²,: 120 m²,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Royal Pratama Indah,Diperbarui 5 jam yang lalu oleh,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos17836453/
Rumah Baru 2 Lantai Ada Kolam Renang di Ngaglik Yogyakarta,"Rp 1,5 Miliar",4.0,2.0,1.0,: 90 m²,: 120 m²,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Royal Pratama Indah,Diperbarui 5 jam yang lalu oleh,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17940409/
"Rumah Minimalias Modern dekat Ugm, Uii & Sekolah Al Azhar *tipe Livia*","Rp 2,93 Miliar",4.0,2.0,1.0,: 118 m²,: 130 m²,"Rumah, Premier, Dekat Sekolah",Muhlisin panoramicland,Diperbarui 2 hari yang lalu oleh,"Depok, Sleman",/properti/sleman/hos17984737/
Bu Jual Cepat Rumah Murah Jogja Keren Superstrategis Di Tajem,Rp 495 Juta,2.0,1.0,1.0,: 70 m²,: 41 m²,"Rumah, Premier, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Hana Rohana,Diperbarui 4 hari yang lalu oleh,"Depok, Sleman",/properti/sleman/hos18044232/
Rumah 2 Lantai View Gunung Merapi di Yogyakarta,"Rp 1,5 Miliar",4.0,2.0,1.0,: 90 m²,: 120 m²,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Royal Pratama Indah,Diperbarui 5 jam yang lalu oleh,"Kaliurang, Sleman",/properti/sleman/hos17836396/
Villa Private Pool Dekat Pusat Wisata Jogja,Rp 299 Juta,1.0,1.0,1.0,: 36 m²,: 36 m²,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Tempat Ibadah",Rifany Cahyaning,Diperbarui 1 minggu yang lalu oleh,"Ngaglik, Sleman",/properti/sleman/hos17967290/
Villa Furnished Bohemian di Kaliurang Jogja,Rp 332 Juta,1.0,1.0,1.0,: 45 m²,: 45 m²,"Rumah, Premier, Full Furnished, Dekat Pusat Perbelanjaan, Dekat Sekolah",Rifany Cahyaning,Diperbarui 1 minggu yang lalu oleh,"Sleman, Sleman",/properti/sleman/hos18054752/
