index,predicted,actual,error,bedroom,bathroom,LT,LB
1,471350966.6276087,435000000.0,0.08356544052323843,2.0,1.0,75.0,55.0
3,390000001.5320278,375000000.0,0.040000004085407416,2.0,1.0,59.0,40.0
8,390000001.98321795,450000000.0,0.13333332892618233,2.0,1.0,60.0,45.0
9,470457842.22250617,550000000.0,0.1446221050499888,3.0,2.0,70.0,50.0
10,463628736.1606723,475000000.0,0.02393950281963725,2.0,1.0,80.0,45.0
13,390000001.98321795,450000000.0,0.13333332892618233,2.0,1.0,62.0,45.0
17,469835700.7881397,480000000.0,0.02117562335804229,2.0,1.0,85.0,55.0
28,390000001.461875,345000000.0,0.13043478684601456,2.0,1.0,72.0,36.0
35,390000001.7048544,345000000.0,0.1304347875503027,2.0,1.0,80.0,36.0
36,390000001.461875,345000000.0,0.13043478684601456,2.0,1.0,72.0,36.0
39,444590549.4320508,520000000.0,0.14501817416913304,2.0,1.0,72.0,48.0
41,1301861437.8302224,1270000000.0,0.025087746323009738,3.0,2.0,91.0,100.0
42,390000002.7325761,395000000.0,0.01265822093018716,2.0,1.0,85.0,36.0
44,471350966.6276087,435000000.0,0.08356544052323843,2.0,1.0,75.0,55.0
48,390000001.8171387,430000000.0,0.0930232515880496,2.0,1.0,81.0,36.0
51,390000001.5297602,455000000.0,0.14285713949503256,2.0,1.0,75.0,40.0
52,471034518.91289365,475000000.0,0.008348381236013362,2.0,1.0,77.0,50.0
56,426002019.7917619,399000000.0,0.06767423506707237,2.0,1.0,73.0,42.0
58,739299552.5167772,750000000.0,0.01426726331096379,3.0,2.0,81.0,65.0
64,441515191.18227637,410000000.0,0.07686631995677164,2.0,1.0,80.0,42.0
65,461134978.4844871,495000000.0,0.06841418487982401,2.0,1.0,79.0,45.0
67,390000001.8171387,430000000.0,0.0930232515880496,2.0,1.0,81.0,36.0
70,470666877.8943938,495000000.0,0.04915782243556808,2.0,1.0,87.0,45.0
75,1331000000.0007513,1290000000.0,0.031782945737016476,4.0,3.0,99.0,105.0
78,441515191.18227637,410000000.0,0.07686631995677164,2.0,1.0,80.0,42.0
80,471350966.6276087,430000000.0,0.09616503866885748,2.0,1.0,75.0,55.0
81,470522810.97704446,425000000.0,0.1071124964165752,2.0,2.0,107.0,55.0
82,390000001.5320278,420000000.0,0.07142856778088623,2.0,1.0,59.0,40.0
85,461134978.4844871,495000000.0,0.06841418487982401,2.0,1.0,79.0,45.0
86,454945399.6410953,475000000.0,0.042220211281904674,2.0,1.0,77.0,45.0
88,390000001.98321795,450000000.0,0.13333332892618233,2.0,1.0,62.0,45.0
95,470666877.8943938,495000000.0,0.04915782243556808,2.0,1.0,84.0,45.0
96,470666877.8943938,495000000.0,0.04915782243556808,2.0,1.0,84.0,45.0
98,470522810.97704446,425000000.0,0.1071124964165752,2.0,2.0,107.0,55.0
100,1301861437.8302224,1270000000.0,0.025087746323009738,3.0,2.0,91.0,100.0
101,470666877.8943938,495000000.0,0.04915782243556808,2.0,1.0,84.0,45.0
102,472991215.38306934,425000000.0,0.11292050678369256,2.0,1.0,107.0,55.0
104,472991215.38306934,425000000.0,0.11292050678369256,2.0,1.0,107.0,55.0
116,470666877.8943938,450000000.0,0.04592639532087511,2.0,1.0,90.0,45.0
118,470597889.2421161,535000000.0,0.12037777711754001,3.0,2.0,80.0,58.0
128,471350966.6276087,435000000.0,0.08356544052323843,2.0,1.0,75.0,55.0
138,1301861437.8302224,1270000000.0,0.025087746323009738,3.0,2.0,91.0,100.0
148,441515191.18227637,410000000.0,0.07686631995677164,2.0,1.0,80.0,42.0
149,470666877.8943938,495000000.0,0.04915782243556808,2.0,1.0,84.0,45.0
