index,predicted,actual,error,bedroom,bathroom,LT,LB
2,295452239.4625045,280000000.0,0.05518656950894466,2.0,1.0,100.0,40.0
4,295452239.4625045,285000000.0,0.03667452442984037,2.0,1.0,100.0,40.0
5,294919203.20341325,320000000.0,0.0783774899893336,2.0,1.0,70.0,36.0
6,296033951.45921725,310000000.0,0.045051769486395964,2.0,1.0,72.0,45.0
7,296033951.45921725,310000000.0,0.045051769486395964,2.0,1.0,72.0,45.0
8,296033951.45921725,305000000.0,0.029396880461582786,2.0,1.0,66.0,45.0
10,295452239.4625045,280000000.0,0.05518656950894466,2.0,1.0,100.0,40.0
12,295754470.85330003,280000000.0,0.05626596733321441,2.0,1.0,105.0,40.0
14,295452239.4625045,280000000.0,0.05518656950894466,2.0,1.0,100.0,40.0
15,295452239.4625045,280000000.0,0.05518656950894466,2.0,1.0,100.0,40.0
17,295754470.85330003,280000000.0,0.05626596733321441,2.0,1.0,105.0,40.0
18,295452239.4625045,280000000.0,0.05518656950894466,2.0,1.0,100.0,40.0
19,295452239.4625045,280000000.0,0.05518656950894466,2.0,1.0,100.0,40.0
21,295452239.4625045,280000000.0,0.05518656950894466,2.0,1.0,100.0,40.0
22,294919203.20341325,320000000.0,0.0783774899893336,2.0,1.0,70.0,36.0
23,294919203.20341325,320000000.0,0.0783774899893336,2.0,1.0,70.0,36.0
24,295452239.4625045,280000000.0,0.05518656950894466,2.0,1.0,100.0,40.0
25,295452239.4625045,280000000.0,0.05518656950894466,2.0,1.0,100.0,40.0
26,295452239.4625045,280000000.0,0.05518656950894466,2.0,1.0,100.0,40.0
29,304866081.7818139,335000000.0,0.08995199468115248,2.0,1.0,80.0,50.0
