index,predicted,actual,error,bedroom,bathroom,LT,LB
0,1913138206.6945105,1790000000.0,0.06879229424274327,3.0,3.0,135.0,110.0
4,901425148.6858158,885000000.0,0.018559490040469844,3.0,2.0,102.0,75.0
5,1913138206.6945105,1790000000.0,0.06879229424274327,3.0,3.0,133.0,110.0
7,1913138206.6945105,1810000000.0,0.05698243463785108,3.0,3.0,128.0,110.0
16,1902325389.9306383,1720000000.0,0.10600313368060367,3.0,3.0,136.0,111.0
22,1842444116.6539624,1880000000.0,0.019976533694700864,3.0,2.0,130.0,150.0
28,897443740.7052134,825000000.0,0.08781059479419809,3.0,2.0,110.0,105.0
30,2008211189.8020477,2300000000.0,0.1268647000860662,5.0,5.0,132.0,107.0
33,898814966.1297778,900000000.0,0.001316704300246901,3.0,3.0,103.0,100.0
37,1858753758.473241,1800000000.0,0.03264097692957838,4.0,4.0,149.0,171.0
39,896604885.1579379,835000000.0,0.07377830557836873,3.0,2.0,107.0,91.0
43,1868553665.910158,1890000000.0,0.01134726671420216,3.0,3.0,122.0,130.0
46,1839699151.0717854,1770000000.0,0.03937805145298613,3.0,3.0,121.0,150.0
47,1904043153.26357,2200000000.0,0.13452583942564997,4.0,3.0,182.0,177.0
48,1896988687.2562354,1850000000.0,0.025399290408775872,4.0,3.0,164.0,190.0
49,1913138206.6945105,1750000000.0,0.09322183239686312,3.0,3.0,124.0,160.0
52,1902325389.9306383,1720000000.0,0.10600313368060367,3.0,3.0,136.0,111.0
55,902579328.6309291,879000000.0,0.026825174779214006,3.0,2.0,114.0,65.0
59,575104241.8846493,562000000.0,0.023317156378379496,2.0,1.0,92.0,53.0
60,901286586.2568573,825000000.0,0.09246858940225125,3.0,2.0,126.0,70.0
68,575102627.2910701,575000000.0,0.00017848224533931068,2.0,1.0,90.0,50.0
70,575116350.034252,600000000.0,0.04147274994291325,2.0,1.0,100.0,50.0
74,901425148.6858158,885000000.0,0.018559490040469844,3.0,2.0,102.0,75.0
75,899349802.555274,875000000.0,0.02782834577745601,3.0,2.0,107.0,70.0
80,1842444116.6539624,1650000000.0,0.11663279797209841,3.0,3.0,130.0,130.0
89,1842444116.6539624,1650000000.0,0.11663279797209841,4.0,2.0,160.0,120.0
