index,predicted,actual,error,bedroom,bathroom,LT,LB
10,2467171472.117774,2370000000.0,0.041000621146740086,3.0,3.0,136.0,150.0
29,1200006479.9093833,1270000000.0,0.055113007945367484,3.0,3.0,110.0,114.0
30,1200006479.9093833,1270000000.0,0.055113007945367484,3.0,3.0,110.0,114.0
42,2165192257.9449873,1930000000.0,0.12186127354662554,3.0,3.0,150.0,110.0
44,1200002638.9669597,1270000000.0,0.05511603230948054,3.0,2.0,110.0,114.0
47,2808135493.918455,2700000000.0,0.04005018293276116,4.0,3.0,213.0,135.0
62,1200002638.9669597,1270000000.0,0.05511603230948054,3.0,2.0,110.0,114.0
63,1200002638.9669597,1270000000.0,0.05511603230948054,3.0,2.0,110.0,114.0
64,2728105172.8362846,2700000000.0,0.010409323272698013,3.0,3.0,180.0,200.0
77,2708520522.6904516,2500000000.0,0.08340820907618064,4.0,3.0,187.0,135.0
80,705322707.0688555,650000000.0,0.0851118570290085,3.0,1.0,100.0,70.0
86,2809942765.0821853,2750000000.0,0.021797369120794642,4.0,3.0,189.0,210.0
90,705057105.5311545,775000000.0,0.09024889608883288,2.0,1.0,80.0,50.0
92,2896952820.369827,3000000000.0,0.0343490598767244,3.0,3.0,130.0,220.0
105,705057105.5311545,680000000.0,0.03684868460463899,2.0,1.0,85.0,45.0
106,1200003029.3260024,1200000000.0,2.524438335299492e-06,3.0,3.0,100.0,115.0
107,2867496177.869494,2750000000.0,0.04272588286163417,4.0,5.0,150.0,190.0
113,705057105.5311545,785000000.0,0.10183808212591781,2.0,1.0,84.0,50.0
125,2783453255.136403,3150000000.0,0.11636404598844347,3.0,3.0,210.0,180.0
135,744727770.1992862,850000000.0,0.12384968211848679,2.0,1.0,112.0,64.0
143,2867496177.869494,2750000000.0,0.04272588286163417,4.0,5.0,150.0,190.0
144,1200003044.5167577,1300000000.0,0.07692073498710944,3.0,3.0,79.0,120.0
153,705057105.5311545,720000000.0,0.020754020095618733,2.0,1.0,91.0,50.0
156,736413741.6315609,775000000.0,0.049788720475405265,2.0,1.0,110.0,54.0
162,2783453255.136403,3150000000.0,0.11636404598844347,3.0,3.0,210.0,180.0
182,1200004106.1677675,1200000000.0,3.421806472937266e-06,3.0,2.0,130.0,80.0
183,705057105.5311545,685000000.0,0.0292804460308825,2.0,1.0,85.0,45.0
187,2814044529.785065,2500000000.0,0.12561781191402607,4.0,3.0,123.0,200.0
191,705529662.3770827,785000000.0,0.10123609888269719,3.0,1.0,99.0,80.0
200,704628049.1044056,781000000.0,0.09778738911087625,3.0,1.0,95.0,57.0
208,2767270059.6315136,2630000000.0,0.0521939390233892,4.0,3.0,208.0,126.0
218,1200004691.8626077,1050000000.0,0.14286161129772162,3.0,2.0,132.0,90.0
237,1200027234.4427063,1050000000.0,0.1428830804216251,3.0,2.0,144.0,90.0
241,2708520522.6904516,2540000000.0,0.06634666247655575,4.0,4.0,175.0,130.0
242,2165192257.9449873,1940000000.0,0.11607848347679757,3.0,3.0,150.0,110.0
243,2708520522.6904516,2530000000.0,0.07056147141915084,4.0,4.0,175.0,130.0
249,2708520522.6904516,2950000000.0,0.08185744993544013,4.0,3.0,180.0,165.0
262,705057105.5311545,706000000.0,0.0013355445734355336,2.0,1.0,80.0,50.0
264,705057105.5311545,650000000.0,0.08470323927869926,2.0,1.0,96.0,48.0
266,1200005558.1810868,1090000000.0,0.10092253044136401,3.0,2.0,134.0,80.0
283,705057105.5311545,650000000.0,0.08470323927869926,2.0,1.0,74.0,45.0
288,2896952820.369827,3300000000.0,0.12213550897884036,4.0,3.0,147.0,220.0
303,1200003440.2564359,1300000000.0,0.07692043057197241,4.0,4.0,79.0,120.0
308,2728105172.8362846,2700000000.0,0.010409323272698013,3.0,4.0,180.0,200.0
309,1200002638.9669597,1270000000.0,0.05511603230948054,3.0,2.0,110.0,114.0
310,1200002638.9669597,1270000000.0,0.05511603230948054,3.0,2.0,110.0,114.0
322,2808135493.918455,2500000000.0,0.12325419756738205,4.0,3.0,213.0,135.0
323,2808135493.918455,2700000000.0,0.04005018293276116,4.0,3.0,213.0,135.0
326,708076576.6815263,633000000.0,0.11860438654269558,2.0,1.0,105.0,59.0
338,704990831.7650162,780000000.0,0.09616560030126128,3.0,1.0,98.0,72.0
358,704457082.1481352,650000000.0,0.08378012638174644,3.0,1.0,93.0,60.0
371,705322707.0688555,620000000.0,0.137617269465896,3.0,1.0,104.0,104.0
385,2708520522.6904516,2700000000.0,0.0031557491446117117,4.0,4.0,138.0,160.0
391,2814044529.785065,2500000000.0,0.12561781191402607,4.0,3.0,123.0,200.0
394,2783453255.136403,2950000000.0,0.05645652368257523,3.0,3.0,210.0,180.0
400,1200002879.2344513,1100000000.0,0.09091170839495573,3.0,2.0,90.0,110.0
405,712321662.3441012,750000000.0,0.050237783541198414,3.0,1.0,95.0,125.0
412,705057105.5311545,775000000.0,0.09024889608883288,2.0,1.0,80.0,50.0
414,736413741.6315609,825000000.0,0.10737728287083524,2.0,1.0,110.0,60.0
423,705057105.5311545,690000000.0,0.021821892074136977,2.0,1.0,85.0,45.0
426,709280125.2107815,720000000.0,0.014888714985025756,3.0,1.0,120.0,50.0
437,713983647.8847398,780000000.0,0.08463634886571826,2.0,1.0,108.0,50.0
455,1200003440.2564359,1300000000.0,0.07692043057197241,4.0,3.0,99.0,105.0
465,1200003044.5167577,1300000000.0,0.07692073498710944,3.0,3.0,91.0,120.0
468,705529662.3770827,800000000.0,0.11808792202864662,3.0,1.0,100.0,80.0
472,705057105.5311545,700000000.0,0.007224436473077876,2.0,1.0,81.0,70.0
476,2759260582.692378,2500000000.0,0.10370423307695122,3.0,4.0,207.0,150.0
480,1200003303.7004998,1250000000.0,0.03999735703960018,3.0,2.0,104.0,85.0
485,2743405552.0261035,2500000000.0,0.0973622208104414,4.0,3.0,205.0,160.0
491,1200005078.7629144,1100000000.0,0.09091370796628584,3.0,2.0,133.0,93.0
515,711455823.5241263,800000000.0,0.11068022059484213,3.0,1.0,119.0,70.0
516,705057105.5311545,695000000.0,0.014470655440510091,2.0,1.0,80.0,50.0
525,1200003044.5167577,1300000000.0,0.07692073498710944,3.0,3.0,91.0,120.0
543,715356692.0410397,800000000.0,0.10580413494870036,2.0,1.0,105.0,100.0
564,1200004729.4346244,1100000000.0,0.09091339039511312,3.0,2.0,62.0,75.0
568,1200002638.9669597,1270000000.0,0.05511603230948054,3.0,2.0,110.0,114.0
569,1200002638.9669597,1270000000.0,0.05511603230948054,3.0,2.0,110.0,114.0
579,705057105.5311545,625000000.0,0.12809136884984723,2.0,1.0,92.0,60.0
588,2728105172.8362846,2700000000.0,0.010409323272698013,3.0,3.0,180.0,200.0
589,1200008498.5068572,1300000000.0,0.07691653961010989,3.0,2.0,100.0,135.0
611,706050901.5684624,720000000.0,0.01937374782158004,3.0,1.0,120.0,50.0
614,708345076.6745554,750000000.0,0.05553989776725944,3.0,1.0,110.0,75.0
617,1200027234.4427063,1050000000.0,0.1428830804216251,3.0,2.0,144.0,90.0
619,2719916737.6028,2400000000.0,0.13329864066783328,3.0,3.0,123.0,145.0
658,1200003213.0503573,1300000000.0,0.07692060534587897,3.0,2.0,103.0,90.0
665,705057105.5311545,695000000.0,0.014470655440510091,2.0,1.0,80.0,50.0
666,705057105.5311545,720000000.0,0.020754020095618733,3.0,1.0,120.0,50.0
670,1200003440.2564359,1240000000.0,0.032255290115777525,4.0,4.0,100.0,108.0
672,2911287326.638446,2980000000.0,0.023057944081058438,4.0,3.0,120.0,168.0
673,2911287326.638446,3300000000.0,0.11779171920047095,4.0,4.0,120.0,218.0
691,2568870435.3363523,2500000000.0,0.02754817413454094,3.0,4.0,136.0,150.0
707,3035999999.996952,3000000000.0,0.01199999999898402,4.0,5.0,245.0,250.0
712,2896952820.369827,2600000000.0,0.11421262321916416,4.0,5.0,210.0,220.0
722,2642852167.196311,2370000000.0,0.11512749670730422,3.0,3.0,129.0,126.0
730,1200002638.9669597,1270000000.0,0.05511603230948054,3.0,2.0,110.0,114.0
