title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota
Murah Banget! Rumah Cantik Minimalis Imut Fully Furnished Di Dalam Perumahan Griya Wirokerten Pratama Dekat Giwangan,435000000.0,2.0,1.0,1.0,75.0,55.0,"Rumah, Premier, Full Furnished, Dekat Sekolah, Dekat Fasilitas Kesehatan",Ayanti Sahabat Properti Jogja,2025-04-08 15:39:32.484726,"Banguntapan, Bantul",/properti/bantul/hos17977791/,Banguntapan,Bantul
Rumah Imut Cantik Minimalis Harga Ekonomis Di Dalam Perumahan Gta Banguntapan Bantul Dekat Dm Swalayan,375000000.0,2.0,1.0,1.0,59.0,40.0,"Rumah, Premier, Dekat Sekolah",Ayanti Sahabat Properti Jogja,2025-04-05 15:39:32.484768,"Banguntapan, Bantul",/properti/bantul/hos16402259/,Banguntapan,Bantul
Murah Banget ! Rumah Cantik Minimalis Imut Harga Super Ekonomis Dalam Perumahan Di Tamanan Banguntapan Bantul Dekat Giwangan,450000000.0,2.0,1.0,1.0,60.0,45.0,"Rumah, Premier",Ayanti Sahabat Properti Jogja,2025-04-08 15:39:32.484837,"Banguntapan, Bantul",/properti/bantul/hos18057728/,Banguntapan,Bantul
Rumah Cantik Model Scandinavian,550000000.0,3.0,2.0,1.0,70.0,50.0,"Rumah, Premier",Zakia Netra Kencana,2025-04-07 15:39:32.484866,"Banguntapan, Bantul",/properti/bantul/hos17942789/,Banguntapan,Bantul
"Rumah Dalam Perumahan Fasco Village Di Selatan Kasongan, Bantul, Jogja",475000000.0,2.0,1.0,1.0,80.0,45.0,"Rumah, Premier, Siap Huni, Dekat Pusat Perbelanjaan",Yetti indiawati,2025-04-06 15:39:32.484883,"Bantul, Bantul",/properti/bantul/hos17936273/,Bantul,Bantul
Murah Banget! Rumah Baru Cantik Desaign Scandinavian Modern Harga Murah Di Tamanan Banguntapan Bantul Dekat Giwangan,450000000.0,2.0,1.0,1.0,62.0,45.0,"Rumah, Premier",Ayanti Sahabat Properti Jogja,2025-04-05 15:39:32.484895,"Banguntapan, Bantul",/properti/bantul/hos17920801/,Banguntapan,Bantul
Rumah Cantik Murah Full Furnish Banguntapan,480000000.0,2.0,1.0,2.0,85.0,55.0,"Rumah, Featured, Full Furnished, Dekat Fasilitas Kesehatan",Wisnu Kawiryan,2025-04-05 15:39:32.484990,"Banguntapan, Bantul",/properti/bantul/hos17990717/,Banguntapan,Bantul
Rumah Jogja Modern Murah Berkualitas Cuma 300 Jutaan,345000000.0,2.0,1.0,1.0,72.0,36.0,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan",MUKHMAMMAD FAIZIN,2025-04-11 15:39:32.485109,"Sedayu, Bantul",/properti/bantul/hos17343431/,Sedayu,Bantul
Rumah Murah 300 jutaan bergaya jepang lingkungan asri di Jogja,345000000.0,2.0,1.0,1.0,80.0,36.0,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan",MUKHMAMMAD FAIZIN,2025-04-11 15:39:32.485116,"Sedayu, Bantul",/properti/bantul/hos17086781/,Sedayu,Bantul
Rumah 300 jutaan Jogja Ada CCTV Smart Door Lock Kanopi,345000000.0,2.0,1.0,1.0,72.0,36.0,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Fasilitas Kesehatan",MUKHMAMMAD FAIZIN,2025-04-11 15:39:32.485120,"Sedayu, Bantul",/properti/bantul/hos17650734/,Sedayu,Bantul
