title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota
Termurah Dan Terbaik ! Rumah Cantik Dengan Kontruksi Mewah Harga Murah Di Perumahan Mustika Sedayu Jalan Wates Km 13,319000000.0,2.0,1.0,1.0,97.0,36.0,"Rumah, Premier, Dekat Sekolah",Ayanti Sahabat Properti Jogja,2025-04-06 15:39:32.484685,"Sedayu, Bantul",/properti/bantul/hos15809287/,Sedayu,Bantul
Rumah Mewah 2 Lantai Korea Style Modern Dengan Kolam Renang Luas Di Purwomartani Kalasan Sleman Dekat Swalayan Pamela 7,3950000000.0,5.0,3.0,2.0,296.0,288.0,"Rumah, Premier, Full Furnished, Dekat Sekolah",Ayanti Sahabat Properti Jogja,2025-04-11 21:39:32.484719,"Purwomartani , Sleman",/properti/sleman/hos18034859/,Purwomartani,Sleman
Perumahan Grand Str Palagan Jogja Ngaglik Sleman Yogyakarta,1790000000.0,3.0,3.0,2.0,135.0,110.0,"Rumah, Premier, Dekat Pusat Perbelanjaan",Pt Menoreh Megah Abhipraya,2025-04-11 15:39:32.484722,"Ngaglik, Sleman",/properti/sleman/hos17354968/,Ngaglik,Sleman
Turun Harga Rumah Siap Huni Dekat Upn 1.5m,1520000000.0,4.0,3.0,2.0,120.0,165.0,"Rumah, Premier, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",tri indarto,2025-04-12 10:39:32.484723,"Depok, Sleman",/properti/sleman/hos10048531/,Depok,Sleman
Rumah Baru Dijual Jogja Kota Sidoarum Gamping Sleman Yogyakarta,715000000.0,2.0,2.0,1.0,100.0,70.0,"Rumah, Premier, Dekat Sekolah",Pt Menoreh Megah Abhipraya,2025-04-09 15:39:32.484725,"Gamping, Sleman",/properti/sleman/hos18016114/,Gamping,Sleman
Murah Banget! Rumah Cantik Minimalis Imut Fully Furnished Di Dalam Perumahan Griya Wirokerten Pratama Dekat Giwangan,435000000.0,2.0,1.0,1.0,75.0,55.0,"Rumah, Premier, Full Furnished, Dekat Sekolah, Dekat Fasilitas Kesehatan",Ayanti Sahabat Properti Jogja,2025-04-08 15:39:32.484726,"Banguntapan, Bantul",/properti/bantul/hos17977791/,Banguntapan,Bantul
Rumah Baru Fresh Cantik Minimalis Harga Super Ekonomis Dalam Cluster Dekat Rsud Prambanan Sleman,295000000.0,2.0,1.0,1.0,65.0,45.0,"Rumah, Premier, Dekat Sekolah",Ayanti Sahabat Properti Jogja,2025-04-08 15:39:32.484727,"Prambanan, Sleman",/properti/sleman/hos17611702/,Prambanan,Sleman
Rumah Cantik Modern Estetik Kekinian Dengan Tata Ruang Fungsional Di Dekat Sd Model Wedomartani Ngemplak Sleman,885000000.0,3.0,2.0,1.0,102.0,75.0,"Rumah, Premier, Siap Huni, Dekat Sekolah, Dekat Tempat Wisata",Ayanti Sahabat Properti Jogja,2025-04-08 15:39:32.484728,"Ngemplak, Sleman",/properti/sleman/hos18057879/,Ngemplak,Sleman
"Banting Harga!! Rumah Induk Dan Ruang Usaha Di Jual..5 Menit Saja Ke Kampus Uii, Upn, Amikom..sangat Strategis",5400000000.0,7.0,8.0,6.0,482.0,700.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rully Java,2025-04-08 15:39:32.484729,"Condong Catur, Sleman",/properti/sleman/hos14414747/,Condong Catur,Sleman
Rumah 2 Lantai Ada Kolam Renang View Merapi di Sleman Yogyakarta,1500000000.0,4.0,2.0,1.0,90.0,120.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Royal Pratama Indah,2025-04-12 10:39:32.484730,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos17836453/,Umbulharjo,Yogyakarta
Rumah Baru 2 Lantai Ada Kolam Renang di Ngaglik Yogyakarta,1500000000.0,4.0,2.0,1.0,90.0,120.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Royal Pratama Indah,2025-04-12 10:39:32.484732,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17940409/,Maguwoharjo,Yogyakarta
Rumah Baru Shm Dijual Dekat Malioboro Yogyakarta Dalam Perumahan,1370000000.0,3.0,3.0,1.0,100.0,95.0,"Rumah, Premier",Pt Menoreh Megah Abhipraya,2025-04-05 15:39:32.484733,"Kasihan, Bantul",/properti/bantul/hos17901881/,Kasihan,Bantul
Perumahan Baru Shm Grand Str Yogyakarta Palagan Sleman Jogja,1790000000.0,3.0,3.0,2.0,133.0,110.0,"Rumah, Premier, Dekat Fasilitas Kesehatan",Pt Menoreh Megah Abhipraya,2025-04-11 15:39:32.484735,"Ngaglik, Sleman",/properti/sleman/hos17848096/,Ngaglik,Sleman
"Rumah Minimalias Modern dekat Ugm, Uii & Sekolah Al Azhar *tipe Livia*",2930000000.0,4.0,2.0,1.0,118.0,130.0,"Rumah, Premier, Dekat Sekolah",Muhlisin panoramicland,2025-04-10 15:39:32.484736,"Depok, Sleman",/properti/sleman/hos17984737/,Depok,Sleman
Rumah Baru 2 Lantai Perumahan Palagan Jogja Sleman Yogyakarta Shm,1810000000.0,3.0,3.0,2.0,128.0,110.0,"Rumah, Premier",Pt Menoreh Megah Abhipraya,2025-04-10 15:39:32.484737,"Ngaglik, Sleman",/properti/sleman/hos17920659/,Ngaglik,Sleman
Rumah Baru Rooftop Cluster Nogotirto Jogja Sleman Yogyakarta Shm,725000000.0,2.0,2.0,1.0,100.0,70.0,"Rumah, Premier, Siap Huni, Dekat Sekolah",Pt Menoreh Megah Abhipraya,2025-04-09 15:39:32.484738,"Gamping, Sleman",/properti/sleman/hos17333246/,Gamping,Sleman
Rumah Siap Huni Dalam Perumahan di Jalan Palagan Km 7 Dekat UGM dan Sekolah Al Azhar di Jalan palagan km 7 Rumah 2 Lantai di Jalan palagan km 7 SHM Ba,3300000000.0,4.0,4.0,1.0,146.0,205.0,"Rumah, Premier, Siap Huni, Dekat Sekolah",Muhlisin panoramicland,2025-04-12 12:39:32.484739,"Ngaglik, Sleman",/properti/sleman/hos15530603/,Ngaglik,Sleman
Bu Jual Cepat Rumah Murah Jogja Keren Superstrategis Di Tajem,495000000.0,2.0,1.0,1.0,70.0,41.0,"Rumah, Premier, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Hana Rohana,2025-04-08 15:39:32.484740,"Depok, Sleman",/properti/sleman/hos18044232/,Depok,Sleman
Rumah Siap Huni Kaliurang Full Furnished Baru,1300000000.0,4.0,3.0,2.0,104.0,140.0,"Rumah, Premier, Full Furnished, Siap Huni, Dekat Sekolah",tri indarto,2025-04-08 15:39:32.484741,"Ngaglik, Sleman",/properti/sleman/hos10624790/,Ngaglik,Sleman
Rumah MURAH BANGET...Tanahnya Luas di Jogja,555000000.0,2.0,1.0,1.0,183.0,50.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rully Java,2025-04-08 15:39:32.484742,"Sleman, Sleman",/properti/sleman/hos13429775/,Sleman,Sleman
"5 Menit Saja Ke Kampus Uii, Upn, Stie Ykpn, Amikom Dan Pakuwon Mall",1300000000.0,4.0,3.0,1.0,146.0,146.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rully Java,2025-04-08 15:39:32.484744,"Condong Catur, Sleman",/properti/sleman/hos16851875/,Condong Catur,Sleman
15 Menitan Saja Ke Kampus Sanata Dharma..rumah Istimewa..lingkungan Sangat Nyaman,799000000.0,3.0,2.0,1.0,88.0,84.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rully Java,2025-04-08 15:39:32.484745,"Purwomartani , Sleman",/properti/sleman/hos18073237/,Purwomartani,Sleman
"10 Menit Saja ke kampus UGM..Lingkungan Nyaman, Aman dan Bersih",1400000000.0,5.0,2.0,2.0,120.0,200.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Rully Java,2025-04-08 15:39:32.484746,"Mlati, Sleman",/properti/sleman/hos17651556/,Mlati,Sleman
Rumah Modern Heritage di Sleman Dekat Sleman City Hall,1720000000.0,3.0,3.0,2.0,136.0,111.0,"Rumah, Premier, Siap Huni, Dekat Sekolah, Dekat Landmark",Siska Core,2025-04-07 15:39:32.484747,"Ngaglik, Sleman",/properti/sleman/hos18074573/,Ngaglik,Sleman
Rumah Siap Huni 4 Kamar Maguwoharjo Wedomartani,1580000000.0,4.0,2.0,2.0,168.0,130.0,"Rumah, Premier, Full Furnished, Siap Huni, Dekat Pusat Perbelanjaan",tri indarto,2025-04-07 15:39:32.484748,"Depok, Sleman",/properti/sleman/hos10280665/,Depok,Sleman
Rumah Baru 2lt View Gunung Merapi di Sleman Yogyakarta,1500000000.0,4.0,2.0,1.0,90.0,120.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Royal Pratama Indah,2025-04-12 10:39:32.484749,"Sleman, Yogyakarta",/properti/yogyakarta/hos17940336/,Sleman,Yogyakarta
Rumah 2 Lantai Baru Unfurnished SHM View Merapi Yogyakarta,1500000000.0,4.0,2.0,2.0,90.0,120.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Royal Pratama Indah,2025-04-12 10:39:32.484751,"Depok, Sleman",/properti/sleman/hos17494954/,Depok,Sleman
Jual Rumah 2 Lantai Elegan Dekat Kampus Uii View Merapi,1570000000.0,3.0,2.0,1.0,107.0,130.0,"Rumah, Premier, Dekat Akses Transportasi, Dekat Sekolah, Dekat Landmark",Royal Pratama Indah,2025-04-12 10:39:32.484752,"Ngaglik, Sleman",/properti/sleman/hos17935651/,Ngaglik,Sleman
Rumah 2 Lantai View Gunung Merapi di Yogyakarta,1500000000.0,4.0,2.0,1.0,90.0,120.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Royal Pratama Indah,2025-04-12 10:39:32.484753,"Kaliurang, Sleman",/properti/sleman/hos17836396/,Kaliurang,Sleman
Rumah 2 Lantai Baru Unfurnished SHM Dekat Kantor Kecamatan Ngaglik Sleman,1410000000.0,3.0,2.0,1.0,90.0,110.0,"Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata, Dekat Landmark",Akatara Indah Land,2025-04-06 15:39:32.484755,"Sleman, Yogyakarta",/properti/yogyakarta/hos17924775/,Sleman,Yogyakarta
Siap Huni Dijual Rumah 2 Lantai Area Sleman City Hall SHM Banyak Bonus,1950000000.0,3.0,2.0,1.0,109.0,115.0,"Rumah, Premier, Full Furnished, Siap Huni, Dekat Pusat Perbelanjaan",Akatara Indah Land,2025-04-06 15:39:32.484756,"Sleman, Yogyakarta",/properti/yogyakarta/hos17561349/,Sleman,Yogyakarta
Rumah 2 Lantai Baru SHM + Private Pool View Merapi,1750000000.0,3.0,3.0,1.0,126.0,144.0,"Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata, Dekat Landmark",Akatara Indah Land,2025-04-06 15:39:32.484757,"Kaliurang, Yogyakarta",/properti/yogyakarta/hos17462285/,Kaliurang,Yogyakarta
Perumahan Cluster Baru Jogja Dekat Ugm SHM Unfurnished,1490000000.0,3.0,2.0,1.0,90.0,110.0,"Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata, Dekat Landmark",Akatara Indah Land,2025-04-06 15:39:32.484758,"Sleman, Sleman",/properti/sleman/hos17716706/,Sleman,Sleman
Promo Rumah Cluster Baru di Sleman 2 Lantai Unfurnished SHM Kaliurang,1880000000.0,3.0,2.0,1.0,130.0,150.0,"Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata, Dekat Landmark",Akatara Indah Land,2025-04-06 15:39:32.484759,"Kaliurang, Sleman",/properti/sleman/hos17726091/,Kaliurang,Sleman
RUMAH MEWAH EKLUSIF HOOK 2 LANTAI DALAM PERUMAHAN ELITE DI DEKAT BALE MULIA DAN TERMINAL JOMBOR MLATI SLEMAN,2200000000.0,3.0,3.0,1.0,137.0,145.0,"Rumah, Premier, Full Furnished, Dekat Sekolah",Ayanti Sahabat Properti Jogja,2025-04-05 15:39:32.484761,"Mlati, Sleman",/properti/sleman/hos17486852/,Mlati,Sleman
Villa Private Pool Dekat Pusat Wisata Jogja,299000000.0,1.0,1.0,1.0,36.0,36.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Tempat Ibadah",Rifany Cahyaning,2025-04-05 15:39:32.484762,"Ngaglik, Sleman",/properti/sleman/hos17967290/,Ngaglik,Sleman
Villa Furnished Bohemian di Kaliurang Jogja,332000000.0,1.0,1.0,1.0,45.0,45.0,"Rumah, Premier, Full Furnished, Dekat Pusat Perbelanjaan, Dekat Sekolah",Rifany Cahyaning,2025-04-05 15:39:32.484763,"Sleman, Sleman",/properti/sleman/hos18054752/,Sleman,Sleman
Rumah Cantik Baru Shm Limasan Jalan Kaliurang Km 9 Sleman,749000000.0,3.0,2.0,1.0,706.0,75.0,"Rumah, Premier, Dekat Tempat Wisata, Dekat Landmark",Wisnu Kawiryan,2025-04-05 15:39:32.484765,"Sleman, Sleman",/properti/sleman/hos18048860/,Sleman,Sleman
"Dijual Segera lokasi Dekat Jalan Jambon Barat Jalan Magelang Dekat Kranggan, Dekat Jcm, Rumah Shm Baru",4500000000.0,6.0,5.0,0.0,1000.0,500.0,"Rumah, Premier",Muhlisin panoramicland,2025-04-05 15:39:32.484766,"Gamping, Sleman",/properti/sleman/hos16536231/,Gamping,Sleman
Rumah Imut Cantik Minimalis Harga Ekonomis Di Dalam Perumahan Gta Banguntapan Bantul Dekat Dm Swalayan,375000000.0,2.0,1.0,1.0,59.0,40.0,"Rumah, Premier, Dekat Sekolah",Ayanti Sahabat Properti Jogja,2025-04-05 15:39:32.484768,"Banguntapan, Bantul",/properti/bantul/hos16402259/,Banguntapan,Bantul
Perumahan Modern 3 Pilihan Tipe di Bantul Dekat Kampus Umy,710000000.0,2.0,1.0,1.0,72.0,50.0,"Rumah, Premier, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah",Siska Core,2025-03-29 15:39:32.484770,"Sedayu, Bantul",/properti/bantul/hos17975726/,Sedayu,Bantul
"Rumah Pendopo Mix Modern. ISTIMEWA 2 Muka (Pendopo hadap Barat, Modern hadap Timur) 2 akses, lokasi di Jalan Boyong no 14 Pakem, Sleman. Yogyakarta",9900000000.0,8.0,6.0,6.0,1282.0,900.0,"Rumah, Premier, Full Furnished, Dekat Landmark",Leonardus Aditya,2025-04-11 15:39:32.484772,"Pakem, Sleman",/properti/sleman/hos17715672/,Pakem,Sleman
Rumah Hak Milik Lokasi Sangat Strategis di Depok Sleman,2600000000.0,3.0,2.0,0.0,138.0,186.0,"Rumah, Premier",Niarna Lusi,2025-04-11 15:39:32.484773,"Depok, Sleman",/properti/sleman/hos18101582/,Depok,Sleman
Murah Banget Rumah Cantik Minimalsi Imut Harga Super Ekonomis Dalam Perumahan Bangunjiwo Bantul,235000000.0,2.0,1.0,1.0,75.0,30.0,"Rumah, Premier, Bebas Banjir",Elsa property,2025-04-05 15:39:32.484776,"Banguntapan, Bantul",/properti/bantul/hos17953390/,Banguntapan,Bantul
Rumah Cantik Baru Shm Siap Huni Di Sleman Wedomartani,849000000.0,3.0,2.0,1.0,107.0,90.0,"Rumah, Premier, Siap Huni, Dekat Sekolah",Wisnu Kawiryan,2025-04-05 15:39:32.484777,"Sleman, Yogyakarta",/properti/yogyakarta/hos17941774/,Sleman,Yogyakarta
ISTIMEWA BANGET! RUMAH SUPER MEWAH EKLUSIF 2 LANTAI UNIT HOOK - HARGA MURAH BANGET DI DALAM PERUMAHAN ELITE BALE MULIA JOMBOR MLATI SLEMAN,5750000000.0,6.0,4.0,2.0,355.0,376.0,"Rumah, Premier",Ayanti Sahabat Properti Jogja,2025-03-29 15:39:32.484778,"Mlati, Sleman",/properti/sleman/hos17125477/,Mlati,Sleman
BOMBASTIS JARANG ADA! RUMAH LUX MEWAH MEDITERANIA TROPICAL 2 LANTAI DENGAN KUALITAS PREMIUM DEKAT DENGAN TUGU JOGJA DAN MALIOBORO DALAM RINGROAD JL GO,12500000000.0,6.0,7.0,4.0,636.0,450.0,"Rumah, Premier, Full Furnished, Dekat Sekolah",Ayanti Sahabat Properti Jogja,2025-03-29 15:39:32.484780,"Godean, Sleman",/properti/sleman/hos15676746/,Godean,Sleman
"Rumah Cantik Siap Huni nempel Ring Road Barat, Godean, Jogyakarta",830000000.0,3.0,2.0,0.0,163.0,100.0,"Rumah, Premier, Siap Huni, Dekat Sekolah",TANTI (ARQN),2025-03-29 15:39:32.484781,"Godean, Sleman",/properti/sleman/hos17860355/,Godean,Sleman
Rumah Siap Huni furnished Strategis Kaliurang Km 7,825000000.0,3.0,2.0,1.0,110.0,105.0,"Rumah, Premier, Full Furnished, Siap Huni, Dekat Pusat Perbelanjaan",Abizar Aulia,2025-04-05 15:39:32.484782,"Ngaglik, Sleman",/properti/sleman/hos17908662/,Ngaglik,Sleman
"Dijual Rumah 2,5 Lantai Dan Pekarangan, Hook, Strategis, View Sawah, di Palagan Yogyakarta",5250000000.0,7.0,4.0,1.0,400.0,170.0,"Rumah, Premier",Maria,2025-03-22 15:39:32.484784,"Ngaglik, Sleman",/properti/sleman/hos17618305/,Ngaglik,Sleman
Rumah 2 Lantai Baru Semi Furnished SHM Yogyakarta,2000000000.0,4.0,4.0,1.0,104.0,121.0,"Rumah, Premier, Full Furnished",Fandri Liesmarindra,2025-03-22 15:39:32.484785,"Banguntapan, Bantul",/properti/bantul/hos17900847/,Banguntapan,Bantul
Rumah Cantik 2 Lantai Modern Minimalis di Maguwoharjo,1680000000.0,4.0,2.0,1.0,118.0,160.0,"Rumah, Premier, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah",Erfin Wastu,2025-03-15 15:39:32.484786,"Depok, Sleman",/properti/sleman/hos17842743/,Depok,Sleman
Rumah 2 Lantai Perumahan Dekat UGM Jogja Kota Sleman Yogyakarta,2300000000.0,5.0,5.0,2.0,132.0,107.0,"Rumah, Premier, Dekat Sekolah, Dekat Fasilitas Kesehatan, Dekat Landmark",Dyah Okta,2025-03-15 15:39:32.484787,"Mlati, Sleman",/properti/sleman/hos17836651/,Mlati,Sleman
Jual Rumah Kuantan Regency Harga Terjangkau,950000000.0,2.0,1.0,1.0,80.0,40.0,"Rumah, Premier, Dekat Akses Transportasi, Dekat Sekolah",Steven Kurniawan,2025-04-11 15:39:32.484789,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos18098355/,Umbulharjo,Yogyakarta
"Rumah SHM Siap Huni di Prambanan, Sleman",550000000.0,2.0,1.0,1.0,110.0,100.0,"Rumah, Premier, Siap Huni, Bebas Banjir",Regina Puspa Arinta,2025-04-10 15:39:32.484790,"Prambanan, Sleman",/properti/sleman/hos18097991/,Prambanan,Sleman
"Rumah Mewah Tinggal Masuk Jl Magelang Km8 Dkt Rsud, Kantor, Fasum",2550000000.0,5.0,4.0,1.0,205.0,285.0,"Rumah, Premier, Full Furnished",Lidia Chandra,2025-04-10 15:39:32.484791,"Sleman, Yogyakarta",/properti/yogyakarta/hos12822303/,Sleman,Yogyakarta
Rumah 2lantai Dengan Private Pool Dekat Kemana2 Shm Baru,1850000000.0,4.0,3.0,2.0,118.0,126.0,"Rumah, Premier, Siap Huni, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan",Umi Roro XMJI,2025-04-10 15:39:32.484792,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17923350/,Maguwoharjo,Yogyakarta
Rumah Dekat Malioboro Jalan Wates Pasar Gamping,650000000.0,3.0,2.0,1.0,128.0,70.0,"Rumah, Premier, Dekat Sekolah, Dekat Fasilitas Kesehatan",tri indarto,2025-04-11 15:39:32.484794,"Gamping, Sleman",/properti/sleman/hos6900890/,Gamping,Sleman
Rumah Besar Tanah Luas Bisa Buat Usaha Dalam Kota,1300000000.0,6.0,3.0,1.0,265.0,310.0,"Rumah, Premier, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Fasilitas Kesehatan",tri indarto,2025-04-11 15:39:32.484795,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos10917131/,Umbulharjo,Yogyakarta
Rumah Baru Istimewa 2 Lantai Modern Scandinavian Dalam Perumahan Di Dekat Budi Mulia Wedomartani Ngemplak Sleman,900000000.0,3.0,3.0,2.0,103.0,100.0,"Rumah, Premier, Dekat Sekolah, Dekat Tempat Wisata",Ayanti Sahabat Properti Jogja,2025-04-05 15:39:32.484796,"Ngemplak, Sleman",/properti/sleman/hos17334546/,Ngemplak,Sleman
RUMAH MEWAH MODERN 2 LANTAI ISTIMEWA DENGAN JOGLO DAN TANAH LUAS DI MAGUWOHARJO DEPOK SLEMAN DEKAT BUDI MULIA TAJEM,4900000000.0,5.0,5.0,2.0,751.0,200.0,"Rumah, Premier, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",Ayanti Sahabat Properti Jogja,2025-04-05 15:39:32.484797,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos17738584/,Maguwoharjo,Yogyakarta
Rumah Murah Jogja Barat Di Jl.setran Sumberarum Moyudan,350000000.0,2.0,1.0,1.0,106.0,50.0,"Rumah, Premier, Siap Huni, Bebas Banjir, Dekat Sekolah",info rumah jogja kita,2025-04-05 15:39:32.484799,"Moyudan, Sleman",/properti/sleman/hos18030700/,Moyudan,Sleman
Homestay Klasik Full Furnished Tanah Luas Tepian Sawah,5500000000.0,12.0,10.0,1.0,1850.0,600.0,"Rumah, Premier, Full Furnished, Dekat Sekolah",tri indarto,2025-04-05 15:39:32.484800,"Sewon, Bantul",/properti/bantul/hos11016697/,Sewon,Bantul
Rumah Luas 2 Lantai 5 Kamar Tidur Cck Untuk Keluarga Kantor Area Dekat Jalan Kaliurang,2049999999.9999998,5.0,4.0,1.0,188.0,300.0,"Rumah, Premier, Dekat Sekolah, Dekat Landmark",Nanang Ibrahim,2025-04-05 15:39:32.484801,"Ngaglik, Sleman",/properti/sleman/hos17834444/,Ngaglik,Sleman
Rumah Siap Huni 2 Lantai Furnish Dalam Perumahan Ada Fasilitas Kolam Renang Dekat Ke Kampus Uty,2100000000.0,2.0,2.0,2.0,100.0,174.0,"Rumah, Premier, Full Furnished, Siap Huni, Dekat Sekolah",Nanang Ibrahim,2025-04-05 15:39:32.484803,"Mlati, Sleman",/properti/sleman/hos17995633/,Mlati,Sleman
