index,predicted,actual,error,bedroom,bathroom,LT,LB
0,0.0,319000000.0,1.0,2.0,1.0,97.0,36.0
2,0.0,1370000000.0,1.0,3.0,3.0,100.0,95.0
4,472914891.87194943,710000000.0,0.33392268750429654,2.0,1.0,72.0,50.0
5,390000001.5582394,235000000.0,0.6595744747159124,2.0,1.0,75.0,30.0
6,1303724164.3713634,1100000000.0,0.18520378579214855,3.0,2.0,98.0,120.0
7,0.0,2500000000.0,1.0,2.0,1.0,133.0,80.0
11,0.0,550000000.0,1.0,4.0,3.0,90.0,115.0
12,0.0,850000000.0,1.0,2.0,1.0,105.0,70.0
14,0.0,1290000000.0,1.0,4.0,3.0,99.0,105.0
15,0.0,1290000000.0,1.0,3.0,3.0,95.0,100.0
16,1190489825.2380502,1970000000.0,0.39569044404159887,3.0,2.0,133.0,80.0
18,390000001.5582394,166000000.0,1.3493975997484302,2.0,1.0,60.0,30.0
19,471621160.9989054,345000000.0,0.3670178579678418,2.0,1.0,74.0,50.0
20,1243546775.4612343,499000000.0,1.492077706335139,3.0,2.0,141.0,60.0
21,1286692039.2673829,500000000.0,1.5733840785347657,3.0,2.0,147.0,78.0
22,390000001.5198505,269000000.0,0.44981413204405385,2.0,1.0,60.0,36.0
23,463628736.1606723,335000000.0,0.38396637659902183,2.0,1.0,80.0,45.0
24,0.0,899000000.0,1.0,3.0,3.0,105.0,121.0
25,446380847.90482485,297000000.0,0.5029658178613632,2.0,1.0,75.0,45.0
26,1331000000.0003269,425000000.0,2.131764705883122,3.0,1.0,98.0,50.0
27,0.0,596000000.0,1.0,3.0,2.0,77.0,72.0
29,0.0,269000000.0,1.0,2.0,1.0,36.0,60.0
30,390000001.5198505,269000000.0,0.44981413204405385,2.0,1.0,60.0,36.0
31,1170391520.1758997,485000000.0,1.4131783921152572,3.0,2.0,86.0,58.0
32,0.0,600000000.0,1.0,2.0,1.0,140.0,90.0
33,470723026.0434806,690000000.0,0.31779271587901364,2.0,1.0,97.0,50.0
34,471934303.9564272,600000000.0,0.21344282673928797,2.0,1.0,105.0,50.0
37,390000001.5582394,270000000.0,0.4444444502157015,2.0,1.0,63.0,30.0
38,390000001.45908326,230000000.0,0.6956521802568837,2.0,1.0,66.0,36.0
40,444590549.4320508,1290000000.0,0.6553561632309683,4.0,3.0,99.0,105.0
43,454945399.6410953,380000000.0,0.19722473589761916,2.0,1.0,77.0,45.0
45,390000001.5582394,166000000.0,1.3493975997484302,2.0,1.0,60.0,30.0
46,390000001.45908326,285000000.0,0.36842105775116935,2.0,1.0,66.0,36.0
47,390000001.50442934,322000000.0,0.21118012889574328,2.0,1.0,74.0,36.0
49,390000001.5582394,270000000.0,0.4444444502157015,2.0,1.0,60.0,30.0
50,390000001.5582394,270000000.0,0.4444444502157015,2.0,1.0,60.0,30.0
53,390000004.0625867,575000000.0,0.3217391233694144,2.0,1.0,87.0,40.0
54,1323683085.0251455,800000000.0,0.6546038562814319,3.0,1.0,90.0,90.0
55,1303724164.3713634,1790000000.0,0.2716624780048249,3.0,2.0,137.0,120.0
57,468422930.25489503,398000000.0,0.17694203581631918,2.0,1.0,88.0,50.0
59,1329436298.3360817,800000000.0,0.6617953729201022,3.0,2.0,154.0,60.0
60,390000001.5582394,170000000.0,1.2941176562249377,2.0,1.0,60.0,30.0
61,1077891029.2222087,500000000.0,1.1557820584444174,3.0,1.0,107.0,70.0
62,1266543357.7992923,559000000.0,1.2657305148466769,3.0,2.0,101.0,55.0
63,472336024.9818228,345000000.0,0.3690899274835443,2.0,1.0,106.0,47.0
66,470666877.8943938,399000000.0,0.17961623532429524,2.0,1.0,83.0,45.0
68,0.0,320000000.0,1.0,2.0,1.0,66.0,50.0
69,1286692039.2673829,500000000.0,1.5733840785347657,3.0,2.0,147.0,65.0
71,1286692039.2673829,500000000.0,1.5733840785347657,3.0,2.0,147.0,78.0
72,471130443.2953492,650000000.0,0.2751839333917705,2.0,1.0,97.0,65.0
73,1177037849.5771656,425000000.0,1.7695008225345072,3.0,2.0,100.0,60.0
74,1331000000.0007513,549000000.0,1.4244080145733173,3.0,1.0,83.0,52.0
76,1161982669.258726,550000000.0,1.1126957622885925,3.0,2.0,97.0,75.0
77,1077891029.2222087,500000000.0,1.1557820584444174,3.0,1.0,107.0,70.0
79,466351916.4937468,365000000.0,0.27767648354451185,2.0,1.0,81.0,45.0
83,1323683085.0251455,625000000.0,1.1178929360402328,3.0,1.0,90.0,60.0
84,467341079.53384835,400000000.0,0.16835269883462087,2.0,1.0,90.0,50.0
87,390000001.44450283,265000000.0,0.47169811865850125,2.0,1.0,71.0,36.0
89,463628736.1606723,335000000.0,0.38396637659902183,2.0,1.0,80.0,45.0
