index,predicted,actual,error,bedroom,bathroom,LT,LB
0,295575503.74030864,381000000.0,0.22421127627215579,2.0,1.0,72.0,41.0
1,0.0,400000000.0,1.0,2.0,1.0,80.0,50.0
3,295881624.0479485,402000000.0,0.2639760595822177,2.0,1.0,90.0,43.0
9,295919067.1163742,425000000.0,0.30371984207911956,2.0,1.0,100.0,36.0
11,295068638.5366617,236000000.0,0.25029084125704104,2.0,1.0,60.0,36.0
13,294919203.20341325,360000000.0,0.18077999110162987,2.0,1.0,72.0,36.0
16,304866081.7818139,380000000.0,0.19772083741627916,2.0,1.0,141.0,40.0
20,296033951.45921725,350000000.0,0.15418871011652213,2.0,1.0,73.0,45.0
27,295452239.4625045,250000000.0,0.18180895785001802,2.0,1.0,100.0,40.0
28,304866081.7818139,391000000.0,0.2202913509416524,2.0,1.0,141.0,40.0
