index,predicted,actual,error,bedroom,bathroom,LT,LB
0,272817770.82970816,328000000.0,0.16823850356796294,2.0,1.0,71.0,36.0
1,272817770.82970816,328000000.0,0.16823850356796294,2.0,1.0,71.0,36.0
2,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,70.0,36.0
3,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
4,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,75.0,36.0
6,272817770.82970816,328000000.0,0.16823850356796294,2.0,1.0,71.0,36.0
11,272817770.82970816,341000000.0,0.1999478861298881,2.0,1.0,72.0,36.0
12,272817770.82970816,343000000.0,0.2046129130329208,2.0,1.0,72.0,36.0
13,272817770.82970816,346000000.0,0.21150933286211515,2.0,1.0,73.0,36.0
14,272817770.82970816,341000000.0,0.1999478861298881,2.0,1.0,71.0,36.0
16,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
17,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
18,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
19,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
20,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
21,272817770.82970816,343000000.0,0.2046129130329208,2.0,1.0,72.0,36.0
22,272817770.82970816,347000000.0,0.21378164026020705,2.0,1.0,73.0,36.0
23,272817770.82970816,341000000.0,0.1999478861298881,2.0,1.0,71.0,36.0
24,272817770.82970816,343000000.0,0.2046129130329208,2.0,1.0,72.0,36.0
25,272817770.82970816,346000000.0,0.21150933286211515,2.0,1.0,73.0,36.0
26,272817770.82970816,341000000.0,0.1999478861298881,2.0,1.0,71.0,36.0
38,272817770.82970816,343000000.0,0.2046129130329208,2.0,1.0,72.0,36.0
39,272817770.82970816,346000000.0,0.21150933286211515,2.0,1.0,73.0,36.0
40,272817770.82970816,341000000.0,0.1999478861298881,2.0,1.0,71.0,36.0
41,272817770.82970816,346000000.0,0.21150933286211515,2.0,1.0,73.0,36.0
42,272817770.82970816,343000000.0,0.2046129130329208,2.0,1.0,72.0,36.0
43,272817770.82970816,341000000.0,0.1999478861298881,2.0,1.0,71.0,36.0
44,272817770.82970816,346000000.0,0.21150933286211515,2.0,1.0,73.0,36.0
45,272817770.82970816,328000000.0,0.16823850356796294,2.0,1.0,71.0,36.0
46,272817770.82970816,343000000.0,0.2046129130329208,2.0,1.0,72.0,36.0
47,272817770.82970816,346000000.0,0.21150933286211515,2.0,1.0,73.0,36.0
48,272817770.82970816,346000000.0,0.21150933286211515,2.0,1.0,73.0,36.0
51,272817770.82970816,328000000.0,0.16823850356796294,2.0,1.0,71.0,36.0
55,272817770.82970816,343000000.0,0.2046129130329208,2.0,1.0,72.0,36.0
56,272817770.82970816,346000000.0,0.21150933286211515,2.0,1.0,73.0,36.0
57,272817770.82970816,342000000.0,0.20228721979617498,2.0,1.0,71.0,36.0
58,272817770.82970816,343000000.0,0.2046129130329208,2.0,1.0,72.0,36.0
59,272817770.82970816,346000000.0,0.21150933286211515,2.0,1.0,73.0,36.0
60,272817770.82970816,341000000.0,0.1999478861298881,2.0,1.0,71.0,36.0
62,272817770.82970816,450000000.0,0.393738287045093,2.0,1.0,74.0,36.0
64,272817770.82970816,343000000.0,0.2046129130329208,2.0,1.0,72.0,36.0
65,272817770.82970816,346000000.0,0.21150933286211515,2.0,1.0,73.0,36.0
66,272817770.82970816,341000000.0,0.1999478861298881,2.0,1.0,71.0,36.0
67,272817770.82970816,343000000.0,0.2046129130329208,2.0,1.0,72.0,36.0
68,272817770.82970816,346000000.0,0.21150933286211515,2.0,1.0,73.0,36.0
69,272817770.82970816,341000000.0,0.1999478861298881,2.0,1.0,71.0,36.0
75,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
81,272817770.82970816,331000000.0,0.17577712740269438,2.0,1.0,72.0,36.0
82,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
83,272817770.82970816,325000000.0,0.16056070513935952,2.0,1.0,71.0,36.0
84,272817770.82970816,343000000.0,0.2046129130329208,2.0,1.0,72.0,36.0
85,272817770.82970816,328000000.0,0.16823850356796294,2.0,1.0,71.0,36.0
86,272817770.82970816,343000000.0,0.2046129130329208,2.0,1.0,72.0,36.0
92,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
93,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
94,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
95,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
96,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
97,272817770.82970816,343000000.0,0.2046129130329208,2.0,1.0,72.0,36.0
98,272817770.82970816,341000000.0,0.1999478861298881,2.0,1.0,71.0,36.0
108,272817770.82970816,325000000.0,0.16056070513935952,2.0,1.0,70.0,36.0
110,272817770.82970816,339000000.0,0.19522781466162786,2.0,1.0,75.0,36.0
111,272817770.82970816,328000000.0,0.16823850356796294,2.0,1.0,71.0,36.0
112,272817770.82970816,325000000.0,0.16056070513935952,2.0,1.0,71.0,36.0
114,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
132,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
133,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
134,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
135,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
136,272817770.82970816,340000000.0,0.19759479167732893,2.0,1.0,71.0,36.0
137,272817770.82970816,346000000.0,0.21150933286211515,2.0,1.0,73.0,36.0
138,272817770.82970816,341000000.0,0.1999478861298881,2.0,1.0,71.0,36.0
144,272817770.82970816,328000000.0,0.16823850356796294,2.0,1.0,71.0,36.0
145,272817770.82970816,328000000.0,0.16823850356796294,2.0,1.0,71.0,36.0
