index,predicted,actual,error,bedroom,bathroom,LT,LB
1,2008211189.8020477,1520000000.0,0.3211915722381893,4.0,3.0,120.0,165.0
2,0.0,715000000.0,1.0,2.0,2.0,100.0,70.0
3,575118347.5573062,295000000.0,0.9495537205332413,2.0,1.0,65.0,45.0
6,2049425147.099522,2930000000.0,0.300537492457501,4.0,2.0,118.0,130.0
8,1913138206.6945105,725000000.0,1.6388113195786351,2.0,2.0,100.0,70.0
9,1954482665.0457084,3300000000.0,0.4077325257437247,4.0,4.0,146.0,205.0
10,575113751.2365603,495000000.0,0.1618459620940613,2.0,1.0,70.0,41.0
11,0.0,1300000000.0,1.0,4.0,3.0,104.0,140.0
12,0.0,555000000.0,1.0,2.0,1.0,183.0,50.0
13,1842444116.6539624,1300000000.0,0.4172647051184326,4.0,3.0,146.0,146.0
14,0.0,799000000.0,1.0,3.0,2.0,88.0,84.0
15,2008211189.8020477,1400000000.0,0.4344365641443198,5.0,2.0,120.0,200.0
17,1858753758.473241,1580000000.0,0.17642642941344372,4.0,2.0,168.0,130.0
18,0.0,1500000000.0,1.0,4.0,2.0,90.0,120.0
19,0.0,1570000000.0,1.0,3.0,2.0,107.0,130.0
20,0.0,1500000000.0,1.0,4.0,2.0,90.0,120.0
21,0.0,1490000000.0,1.0,3.0,2.0,90.0,110.0
23,1825306277.6402242,2200000000.0,0.17031532834535262,3.0,3.0,137.0,145.0
24,575173904.6886158,299000000.0,0.923658544109083,1.0,1.0,36.0,36.0
25,575148774.0575715,332000000.0,0.732375825474613,1.0,1.0,45.0,45.0
26,1885901946.9971266,2600000000.0,0.27465309730879744,3.0,2.0,138.0,186.0
27,2059617300.0106754,830000000.0,1.481466626518886,3.0,2.0,163.0,100.0
29,2049425147.099522,1680000000.0,0.21989592089257268,4.0,2.0,118.0,160.0
31,0.0,550000000.0,1.0,2.0,1.0,110.0,100.0
32,904191517.6522276,650000000.0,0.39106387331111947,3.0,2.0,128.0,70.0
34,575183120.9186647,350000000.0,0.6433803454818992,2.0,1.0,106.0,50.0
35,0.0,2100000000.0,1.0,2.0,2.0,100.0,174.0
36,901425148.6858158,1700000000.0,0.4697499125377554,3.0,3.0,102.0,126.0
38,575148774.0575715,299000000.0,0.9235744951758245,1.0,1.0,45.0,45.0
40,0.0,1450000000.0,1.0,3.0,2.0,85.0,100.0
41,0.0,2089999999.9999998,1.0,3.0,2.0,110.0,140.0
42,1896988687.2562354,2600000000.0,0.27038896643990945,4.0,4.0,150.0,190.0
44,575249122.1124407,810000000.0,0.2898158986266164,2.0,1.0,108.0,70.0
45,0.0,450000000.0,1.0,3.0,1.0,85.0,50.0
50,2008211189.8020477,1600000000.0,0.2551319936262798,4.0,3.0,200.0,160.0
51,897190391.4412447,770000000.0,0.16518232654707107,3.0,2.0,106.0,80.0
53,575143484.344896,835000000.0,0.3112054079701845,3.0,1.0,124.0,73.0
54,1735767218.7221067,950000000.0,0.8271233881285334,3.0,3.0,118.0,138.0
56,575557040.9353068,835000000.0,0.31071013061639907,3.0,1.0,93.0,75.0
57,897913870.8280799,1150000000.0,0.2192053297147131,3.0,3.0,105.0,160.0
58,1858753758.473241,1600000000.0,0.16172109904577567,4.0,4.0,146.0,135.0
61,575122150.1803341,399000000.0,0.4414088976950729,2.0,1.0,101.0,45.0
62,1842444116.6539624,2200000000.0,0.1625254015209262,3.0,2.0,130.0,125.0
63,1842444116.6539624,799000000.0,1.3059375677771745,3.0,2.0,88.0,84.0
64,0.0,599000000.0,1.0,1.0,2.0,90.0,85.0
65,1735150385.7660232,2300000000.0,0.24558678879738124,3.0,3.0,117.0,180.0
66,2059617300.0106754,1600000000.0,0.2872608125066721,3.0,3.0,128.0,100.0
67,1913138206.6945105,1390000000.0,0.3763584220823816,3.0,3.0,134.0,110.0
69,575103361.6060063,720000000.0,0.20124533110276907,2.0,1.0,91.0,50.0
71,575103361.6060063,720000000.0,0.20124533110276907,2.0,1.0,91.0,50.0
72,907927972.8403184,750000000.0,0.21057063045375793,3.0,2.0,99.0,85.0
73,907927972.8403184,585000000.0,0.5520136287868691,3.0,2.0,99.0,70.0
76,1849950207.8005285,2370000000.0,0.21943029206728754,3.0,3.0,129.0,126.0
77,2008211189.8020477,1100000000.0,0.8256465361836798,4.0,2.0,120.0,130.0
78,906117850.2795871,1450000000.0,0.3750911377382158,3.0,2.0,100.0,85.0
79,897190391.4412447,775000000.0,0.15766502121450932,3.0,2.0,106.0,78.0
81,0.0,1050000000.0,1.0,3.0,2.0,144.0,90.0
82,0.0,788000000.0,1.0,3.0,2.0,85.0,75.0
83,0.0,555000000.0,1.0,2.0,1.0,59.0,93.0
84,575164252.0971091,366000000.0,0.5714870275877297,1.0,1.0,39.0,35.0
85,0.0,1420000000.0,1.0,4.0,3.0,99.0,150.0
86,2049425147.099522,1300000000.0,0.5764808823842478,4.0,3.0,118.0,165.0
87,575127751.5381949,299000000.0,0.9235041857464712,2.0,1.0,60.0,30.0
88,902579328.6309291,750000000.0,0.2034391048412388,3.0,2.0,122.0,65.0
90,908988621.921272,770000000.0,0.1805047037938598,3.0,2.0,111.0,60.0
91,0.0,475000000.0,1.0,2.0,1.0,157.0,55.0
92,0.0,440000000.0,1.0,2.0,2.0,104.0,60.0
93,575116350.034252,795000000.0,0.2765832075040855,2.0,1.0,100.0,55.0
94,0.0,475000000.0,1.0,3.0,1.0,85.0,55.0
95,2059617300.0106754,1280000000.0,0.6090760156333401,3.0,2.0,146.0,100.0
97,1908481962.234975,975000000.0,0.957417397164077,4.0,2.0,183.0,150.0
99,908988621.921272,1400000000.0,0.35072241291337714,3.0,3.0,97.0,120.0
100,0.0,690000000.0,1.0,2.0,1.0,121.0,45.0
101,1881283010.9025931,2400000000.0,0.21613207879058619,3.0,2.0,126.0,160.0
102,1842444116.6539624,1100000000.0,0.6749491969581476,3.0,2.0,146.0,120.0
103,1913138206.6945105,1390000000.0,0.3763584220823816,3.0,3.0,134.0,110.0
104,896239954.6186427,775000000.0,0.15643865112082928,3.0,2.0,108.0,80.0
106,899953834.4280818,585000000.0,0.5383826229539859,3.0,2.0,103.0,70.0
107,575276799.8543785,680000000.0,0.15400470609650227,3.0,1.0,97.0,65.0
108,575127751.5381949,200000000.0,1.8756387576909745,2.0,1.0,60.0,30.0
109,575249122.1124407,370000000.0,0.5547273570606506,2.0,1.0,108.0,54.0
110,0.0,525000000.0,1.0,2.0,2.0,120.0,100.0
111,0.0,1590000000.0,1.0,4.0,2.0,110.0,140.0
112,1913138206.6945105,750000000.0,1.5508509422593473,3.0,2.0,163.0,110.0
113,908988621.921272,769000000.0,0.18203982044378678,3.0,2.0,130.0,60.0
114,0.0,1300000000.0,1.0,3.0,2.0,146.0,71.0
115,996390696.6791301,2850000000.0,0.650389229235393,3.0,3.0,100.0,255.0
116,1954482665.0457084,2350000000.0,0.16830524891671983,4.0,3.0,169.0,205.0
117,0.0,1100000000.0,1.0,3.0,2.0,154.0,90.0
119,2110000000.0009804,1700000000.0,0.24117647058881198,4.0,5.0,111.0,180.0
120,1964318536.9577599,1450000000.0,0.3547024392812137,3.0,2.0,193.0,110.0
122,2059617300.0106754,1030000000.0,0.9996284466123062,3.0,2.0,137.0,100.0
124,1849950207.8005285,2300000000.0,0.19567382269542238,4.0,3.0,129.0,139.0
125,0.0,1400000000.0,1.0,3.0,1.0,175.0,150.0
126,2110000000.0003786,1200000000.0,0.7583333333336488,5.0,3.0,232.0,230.0
127,0.0,1000000000.0,1.0,4.0,2.0,105.0,105.0
128,1989165058.74449,2800000000.0,0.28958390759125363,5.0,4.0,197.0,181.0
129,1839367154.3853307,3800000000.0,0.5159560120038603,3.0,3.0,145.0,160.0
130,1842444116.6539624,2600000000.0,0.2913676474407837,4.0,2.0,148.0,160.0
132,906117850.2795871,1400000000.0,0.35277296408600917,3.0,2.0,100.0,85.0
134,0.0,950000000.0,1.0,2.0,2.0,110.0,90.0
135,922149885.7545244,1200000000.0,0.2315417618712297,3.0,2.0,95.0,105.0
138,575103259.0459582,450000000.0,0.2780072423243515,2.0,1.0,88.0,50.0
139,0.0,350000000.0,1.0,2.0,1.0,129.0,50.0
