index,predicted,actual,error,bedroom,bathroom,LT,LB
0,0.0,1500000000.0,1.0,4.0,2.0,90.0,120.0
1,0.0,1500000000.0,1.0,4.0,2.0,90.0,120.0
2,0.0,1500000000.0,1.0,4.0,2.0,90.0,120.0
3,0.0,1410000000.0,1.0,3.0,2.0,90.0,110.0
4,1200002689.500486,1950000000.0,0.3846140053843662,3.0,2.0,109.0,115.0
5,2711908817.656234,1750000000.0,0.5496621815178478,3.0,3.0,126.0,144.0
6,1200002952.1500957,849000000.0,0.4134310390460491,3.0,2.0,107.0,90.0
7,705057105.5311545,950000000.0,0.2578346257566795,2.0,1.0,80.0,40.0
8,2969876029.541832,1850000000.0,0.6053383943469361,4.0,3.0,118.0,126.0
9,0.0,750000000.0,1.0,3.0,2.0,167.0,100.0
11,705382533.7325085,275000000.0,1.5650273953909402,2.0,1.0,70.0,36.0
12,705382533.7325085,450000000.0,0.5675167416277968,2.0,1.0,75.0,36.0
13,705382533.7325085,275000000.0,1.5650273953909402,2.0,1.0,70.0,36.0
14,0.0,1310000000.0,1.0,2.0,2.0,60.0,74.0
15,2940895064.8855147,1480000000.0,0.9870912600577803,4.0,4.0,119.0,130.0
16,705382533.7325085,450000000.0,0.5675167416277968,2.0,1.0,75.0,36.0
17,1200002462.747364,2970000000.0,0.5959587667517293,3.0,3.0,110.0,146.0
18,0.0,879000000.0,1.0,3.0,2.0,114.0,60.0
19,2782927803.8432117,1720000000.0,0.6179812813041928,4.0,4.0,124.0,160.0
20,1641510488.9597714,2350000000.0,0.3014848983149909,3.0,2.0,111.0,112.0
21,0.0,715000000.0,1.0,2.0,2.0,100.0,70.0
22,1200004729.4346244,835000000.0,0.4371314124965562,3.0,2.0,102.0,75.0
23,1200003303.7004998,1000000000.0,0.20000330370049976,3.0,2.0,105.0,85.0
24,2612025777.9418406,1650000000.0,0.583045926025358,3.0,3.0,130.0,130.0
25,1200002714.8130925,1690000000.0,0.2899392220040873,3.0,3.0,172.0,100.0
26,2434656228.7657137,1950000000.0,0.24854165577728907,3.0,2.0,153.0,155.0
27,2971327647.9025407,4700000000.0,0.3678026281058424,4.0,3.0,232.0,200.0
28,2911287326.638446,2350000000.0,0.23884567090997696,4.0,3.0,120.0,185.0
31,0.0,2550000000.0,1.0,3.0,2.0,161.0,85.0
32,2759260582.692378,1350000000.0,1.04389672792028,4.0,2.0,207.0,160.0
33,1200006464.3538976,685000000.0,0.7518342545312373,3.0,2.0,99.0,70.0
34,0.0,950000000.0,1.0,4.0,1.0,256.0,120.0
